============================================================
[TALLY] Starting: fetch_tally_delegates
[TALLY] API: https://api.tally.xyz/query
[TALLY] Organization ID: 2206072050458560426
[TALLY] WARNING: With rate limiting, expect 2-6 HOURS runtime (~38k delegates)
[TALLY] Page 1: 20 delegates fetched (30/sec, rate_retries=0, ~1265s remaining)
[TALLY] Page 5: 100 delegates fetched (12/sec, rate_retries=0, ~3258s remaining)
[TALLY] Page 10: 200 delegates fetched (9/sec, rate_retries=0, ~4152s remaining)
[TALLY] Page 15: 300 delegates fetched (9/sec, rate_retries=0, ~4004s remaining)
[TALLY] Page 20: 400 delegates fetched (9/sec, rate_retries=0, ~3994s remaining)
[TALLY] Page 25: 500 delegates fetched (9/sec, rate_retries=0, ~4195s remaining)
[TALLY] Page 30: 600 delegates fetched (9/sec, rate_retries=0, ~4088s remaining)
[TALLY] Page 35: 700 delegates fetched (9/sec, rate_retries=0, ~4016s remaining)
[TALLY] Page 40: 800 delegates fetched (9/sec, rate_retries=0, ~4365s remaining)
[TALLY] Page 45: 900 delegates fetched (9/sec, rate_retries=0, ~4265s remaining)
[TALLY] Page 50: 1000 delegates fetched (9/sec, rate_retries=0, ~4223s remaining)
[TALLY] Page 55: 1100 delegates fetched (9/sec, rate_retries=0, ~4273s remaining)
[TALLY] Page 60: 1200 delegates fetched (9/sec, rate_retries=0, ~4212s remaining)
[TALLY] Page 65: 1300 delegates fetched (9/sec, rate_retries=0, ~4157s remaining)
[TALLY] Page 70: 1400 delegates fetched (9/sec, rate_retries=0, ~4196s remaining)
[TALLY] Page 75: 1500 delegates fetched (9/sec, rate_retries=0, ~4143s remaining)
[TALLY] Page 80: 1600 delegates fetched (9/sec, rate_retries=0, ~4093s remaining)
[TALLY] Page 85: 1700 delegates fetched (9/sec, rate_retries=0, ~4124s remaining)
[TALLY] Page 90: 1800 delegates fetched (9/sec, rate_retries=0, ~4079s remaining)
[TALLY] Page 95: 1900 delegates fetched (9/sec, rate_retries=0, ~4039s remaining)
[TALLY] Page 100: 2000 delegates fetched (9/sec, rate_retries=0, ~4001s remaining)
[TALLY] Page 105: 2100 delegates fetched (9/sec, rate_retries=0, ~4026s remaining)
[TALLY] Page 110: 2200 delegates fetched (9/sec, rate_retries=0, ~3988s remaining)
[TALLY] Page 115: 2300 delegates fetched (9/sec, rate_retries=0, ~3954s remaining)
[TALLY] Page 120: 2400 delegates fetched (9/sec, rate_retries=0, ~3975s remaining)
[TALLY] Page 125: 2500 delegates fetched (9/sec, rate_retries=0, ~3944s remaining)
[TALLY] Page 130: 2600 delegates fetched (9/sec, rate_retries=0, ~3917s remaining)
[TALLY] Page 135: 2700 delegates fetched (9/sec, rate_retries=0, ~3935s remaining)
[TALLY] Page 140: 2800 delegates fetched (9/sec, rate_retries=0, ~3907s remaining)
[TALLY] Page 145: 2900 delegates fetched (9/sec, rate_retries=0, ~3881s remaining)
[TALLY] Page 150: 3000 delegates fetched (9/sec, rate_retries=0, ~3857s remaining)
[TALLY] Page 155: 3100 delegates fetched (9/sec, rate_retries=0, ~3875s remaining)
[TALLY] Page 160: 3200 delegates fetched (9/sec, rate_retries=0, ~3855s remaining)
[TALLY] Page 165: 3300 delegates fetched (9/sec, rate_retries=0, ~3831s remaining)
[TALLY] Page 170: 3400 delegates fetched (9/sec, rate_retries=0, ~3846s remaining)
[TALLY] Page 175: 3500 delegates fetched (9/sec, rate_retries=0, ~3822s remaining)
[TALLY] Page 180: 3600 delegates fetched (9/sec, rate_retries=0, ~3797s remaining)
[TALLY] Page 185: 3700 delegates fetched (9/sec, rate_retries=0, ~3808s remaining)
[TALLY] Page 190: 3800 delegates fetched (9/sec, rate_retries=0, ~3785s remaining)
[TALLY] Page 195: 3900 delegates fetched (9/sec, rate_retries=0, ~3762s remaining)
[TALLY] Page 200: 4000 delegates fetched (9/sec, rate_retries=0, ~3773s remaining)
[TALLY] Page 205: 4100 delegates fetched (9/sec, rate_retries=0, ~3751s remaining)
[TALLY] Page 210: 4200 delegates fetched (9/sec, rate_retries=0, ~3730s remaining)
[TALLY] Page 215: 4300 delegates fetched (9/sec, rate_retries=0, ~3709s remaining)
[TALLY] Page 220: 4400 delegates fetched (9/sec, rate_retries=0, ~3716s remaining)
[TALLY] Page 225: 4500 delegates fetched (9/sec, rate_retries=0, ~3695s remaining)
[TALLY] Page 230: 4600 delegates fetched (9/sec, rate_retries=0, ~3675s remaining)
[TALLY] Page 235: 4700 delegates fetched (9/sec, rate_retries=0, ~3681s remaining)
[TALLY] Page 240: 4800 delegates fetched (9/sec, rate_retries=0, ~3661s remaining)
[TALLY] Page 245: 4900 delegates fetched (9/sec, rate_retries=0, ~3641s remaining)
[TALLY] Page 250: 5000 delegates fetched (9/sec, rate_retries=0, ~3647s remaining)
[TALLY] Page 255: 5100 delegates fetched (9/sec, rate_retries=0, ~3628s remaining)
[TALLY] Page 260: 5200 delegates fetched (9/sec, rate_retries=0, ~3609s remaining)
[TALLY] Page 265: 5300 delegates fetched (9/sec, rate_retries=0, ~3590s remaining)
[TALLY] Page 270: 5400 delegates fetched (9/sec, rate_retries=0, ~3594s remaining)
[TALLY] Page 275: 5500 delegates fetched (9/sec, rate_retries=0, ~3576s remaining)
[TALLY] Page 280: 5600 delegates fetched (9/sec, rate_retries=0, ~3560s remaining)
[TALLY] Page 285: 5700 delegates fetched (9/sec, rate_retries=0, ~3562s remaining)
[TALLY] Page 290: 5800 delegates fetched (9/sec, rate_retries=0, ~3545s remaining)
[TALLY] Page 295: 5900 delegates fetched (9/sec, rate_retries=0, ~3527s remaining)
[TALLY] Page 300: 6000 delegates fetched (9/sec, rate_retries=0, ~3530s remaining)
[TALLY] Page 305: 6100 delegates fetched (9/sec, rate_retries=0, ~3513s remaining)
[TALLY] Page 310: 6200 delegates fetched (9/sec, rate_retries=0, ~3497s remaining)
[TALLY] Page 315: 6300 delegates fetched (9/sec, rate_retries=0, ~3499s remaining)
[TALLY] Page 320: 6400 delegates fetched (9/sec, rate_retries=0, ~3482s remaining)
[TALLY] Page 325: 6500 delegates fetched (9/sec, rate_retries=0, ~3465s remaining)
[TALLY] Page 330: 6600 delegates fetched (9/sec, rate_retries=0, ~3448s remaining)
[TALLY] Page 335: 6700 delegates fetched (9/sec, rate_retries=0, ~3449s remaining)
[TALLY] Page 340: 6800 delegates fetched (9/sec, rate_retries=0, ~3433s remaining)
[TALLY] Page 345: 6900 delegates fetched (9/sec, rate_retries=0, ~3417s remaining)
[TALLY] Page 350: 7000 delegates fetched (9/sec, rate_retries=0, ~3417s remaining)
[TALLY] Page 355: 7100 delegates fetched (9/sec, rate_retries=0, ~3423s remaining)
[TALLY] Page 360: 7200 delegates fetched (9/sec, rate_retries=0, ~3409s remaining)
[TALLY] Page 365: 7300 delegates fetched (9/sec, rate_retries=0, ~3408s remaining)
[TALLY] Page 370: 7400 delegates fetched (9/sec, rate_retries=0, ~3391s remaining)
[TALLY] Page 375: 7500 delegates fetched (9/sec, rate_retries=0, ~3375s remaining)
[TALLY] Page 380: 7600 delegates fetched (9/sec, rate_retries=0, ~3373s remaining)
[TALLY] Page 385: 7700 delegates fetched (9/sec, rate_retries=0, ~3357s remaining)
[TALLY] Page 390: 7800 delegates fetched (9/sec, rate_retries=0, ~3340s remaining)
[TALLY] Page 395: 7900 delegates fetched (9/sec, rate_retries=0, ~3338s remaining)
[TALLY] Page 400: 8000 delegates fetched (9/sec, rate_retries=0, ~3323s remaining)
[TALLY] Page 405: 8100 delegates fetched (9/sec, rate_retries=0, ~3307s remaining)
[TALLY] Page 410: 8200 delegates fetched (9/sec, rate_retries=0, ~3292s remaining)
[TALLY] Page 415: 8300 delegates fetched (9/sec, rate_retries=0, ~3289s remaining)
[TALLY] Page 420: 8400 delegates fetched (9/sec, rate_retries=0, ~3274s remaining)
[TALLY] Page 425: 8500 delegates fetched (9/sec, rate_retries=0, ~3259s remaining)
[TALLY] Page 430: 8600 delegates fetched (9/sec, rate_retries=0, ~3256s remaining)
[TALLY] Page 435: 8700 delegates fetched (9/sec, rate_retries=0, ~3240s remaining)
[TALLY] Page 440: 8800 delegates fetched (9/sec, rate_retries=0, ~3225s remaining)
[TALLY] Page 445: 8900 delegates fetched (9/sec, rate_retries=0, ~3222s remaining)
[TALLY] Page 450: 9000 delegates fetched (9/sec, rate_retries=0, ~3207s remaining)
[TALLY] Page 455: 9100 delegates fetched (9/sec, rate_retries=0, ~3192s remaining)
[TALLY] Page 460: 9200 delegates fetched (9/sec, rate_retries=0, ~3189s remaining)
[TALLY] Page 465: 9300 delegates fetched (9/sec, rate_retries=0, ~3174s remaining)
[TALLY] Page 470: 9400 delegates fetched (9/sec, rate_retries=0, ~3158s remaining)
[TALLY] Page 475: 9500 delegates fetched (9/sec, rate_retries=0, ~3143s remaining)
[TALLY] Page 480: 9600 delegates fetched (9/sec, rate_retries=0, ~3139s remaining)
[TALLY] Page 485: 9700 delegates fetched (9/sec, rate_retries=0, ~3124s remaining)
[TALLY] Page 490: 9800 delegates fetched (9/sec, rate_retries=0, ~3109s remaining)
[TALLY] Page 495: 9900 delegates fetched (9/sec, rate_retries=0, ~3104s remaining)
[TALLY] Page 500: 10000 delegates fetched (9/sec, rate_retries=0, ~3090s remaining)
[TALLY] Page 505: 10100 delegates fetched (9/sec, rate_retries=0, ~3075s remaining)
[TALLY] Page 510: 10200 delegates fetched (9/sec, rate_retries=0, ~3071s remaining)
[TALLY] Page 515: 10300 delegates fetched (9/sec, rate_retries=0, ~3057s remaining)
[TALLY] Page 520: 10400 delegates fetched (9/sec, rate_retries=0, ~3042s remaining)
[TALLY] Page 525: 10500 delegates fetched (9/sec, rate_retries=0, ~3027s remaining)
[TALLY] Page 530: 10600 delegates fetched (9/sec, rate_retries=0, ~3023s remaining)
[TALLY] Page 535: 10700 delegates fetched (9/sec, rate_retries=0, ~3009s remaining)
[TALLY] Page 540: 10800 delegates fetched (9/sec, rate_retries=0, ~2995s remaining)
[TALLY] Page 545: 10900 delegates fetched (9/sec, rate_retries=0, ~2990s remaining)
[TALLY] Page 550: 11000 delegates fetched (9/sec, rate_retries=0, ~2976s remaining)
[TALLY] Page 555: 11100 delegates fetched (9/sec, rate_retries=0, ~2962s remaining)
[TALLY] Page 560: 11200 delegates fetched (9/sec, rate_retries=0, ~2956s remaining)
[TALLY] Page 565: 11300 delegates fetched (9/sec, rate_retries=0, ~2943s remaining)
[TALLY] Page 570: 11400 delegates fetched (9/sec, rate_retries=0, ~2929s remaining)
[TALLY] Page 575: 11500 delegates fetched (9/sec, rate_retries=0, ~2924s remaining)
[TALLY] Page 580: 11600 delegates fetched (9/sec, rate_retries=0, ~2910s remaining)
[TALLY] Page 585: 11700 delegates fetched (9/sec, rate_retries=0, ~2897s remaining)
[TALLY] Page 590: 11800 delegates fetched (9/sec, rate_retries=0, ~2883s remaining)
[TALLY] Page 595: 11900 delegates fetched (9/sec, rate_retries=0, ~2878s remaining)
[TALLY] Page 600: 12000 delegates fetched (9/sec, rate_retries=0, ~2864s remaining)
[TALLY] Page 605: 12100 delegates fetched (9/sec, rate_retries=0, ~2850s remaining)
[TALLY] Page 610: 12200 delegates fetched (9/sec, rate_retries=0, ~2844s remaining)
[TALLY] Page 615: 12300 delegates fetched (9/sec, rate_retries=0, ~2832s remaining)
[TALLY] Page 620: 12400 delegates fetched (9/sec, rate_retries=0, ~2818s remaining)
[TALLY] Page 625: 12500 delegates fetched (9/sec, rate_retries=0, ~2812s remaining)
[TALLY] Page 630: 12600 delegates fetched (9/sec, rate_retries=0, ~2798s remaining)
[TALLY] Page 635: 12700 delegates fetched (9/sec, rate_retries=0, ~2786s remaining)
[TALLY] Page 640: 12800 delegates fetched (9/sec, rate_retries=0, ~2773s remaining)
[TALLY] Page 645: 12900 delegates fetched (9/sec, rate_retries=0, ~2766s remaining)
[TALLY] Page 650: 13000 delegates fetched (9/sec, rate_retries=0, ~2753s remaining)
[TALLY] Page 655: 13100 delegates fetched (9/sec, rate_retries=0, ~2739s remaining)
[TALLY] Page 660: 13200 delegates fetched (9/sec, rate_retries=0, ~2733s remaining)
[TALLY] Page 665: 13300 delegates fetched (9/sec, rate_retries=0, ~2720s remaining)
[TALLY] Page 670: 13400 delegates fetched (9/sec, rate_retries=0, ~2706s remaining)
[TALLY] Page 675: 13500 delegates fetched (9/sec, rate_retries=0, ~2700s remaining)
[TALLY] Page 680: 13600 delegates fetched (9/sec, rate_retries=0, ~2687s remaining)
[TALLY] Page 685: 13700 delegates fetched (9/sec, rate_retries=0, ~2674s remaining)
[TALLY] Page 690: 13800 delegates fetched (9/sec, rate_retries=0, ~2668s remaining)
[TALLY] Page 695: 13900 delegates fetched (9/sec, rate_retries=0, ~2655s remaining)
[TALLY] Page 700: 14000 delegates fetched (9/sec, rate_retries=0, ~2642s remaining)
[TALLY] Page 705: 14100 delegates fetched (9/sec, rate_retries=0, ~2629s remaining)
