Transaction Hash,Date,Quarter,From,To,Category,Amount,Asset,Value
0x16eca43b83dddf5414e68cc8e2b30bc94adf458981a080261eede219a72b2721,2022-03-31,2022Q2,DAO Wallet,Airdrop,Airdrop,146.78064668612305,ENS,2637.28
0x9dea6cff05c012c578c15e71ec4d35ec1ef6de8fa6e49aa1d5dfb21919cc072c,2022-03-31,2022Q2,DAO Wallet,Airdrop,Airdrop,88.14161415116023,ENS,1583.68
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,2022Q2,DAO Wallet,Ecosystem,Ecosystem,6.0,ETH,19696.68
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,2022Q2,DAO Wallet,Ecosystem,Ecosystem,6500.0,ENS,116788.62
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,2022Q2,DAO Wallet,Ecosystem,Ecosystem,127500.0,USDC,127500.0
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,2022Q2,DAO Wallet,Public Goods,Public Goods,100000.0,USDC,100000.0
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,2022Q2,DAO Wallet,Metagov,Metagov,2700.0,ENS,48512.2
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,2022Q2,DAO Wallet,Metagov,Metagov,50000.0,USDC,50000.0
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,2022Q2,DAO Wallet,Community WG,Community WG,1.0,ETH,3282.78
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,2022Q2,DAO Wallet,Community WG,Community WG,650.0,ENS,11678.86
0x3447f674b598cf8acf994937f028444487850713879618e4d5694f075b4648af,2022-03-31,2022Q2,DAO Wallet,Community WG,Community WG,142500.0,USDC,142500.0
0x3b385f58bb6a757756c793bd86b5f28b12183a3279cd1dcb685ce6b506805e56,2022-04-01,2022Q2,DAO Wallet,Airdrop,Airdrop,68.2042348068726,ENS,1266.87
0xc6fc145016ca50d3c7fbded8037d3ecd16620a56183a15a51a775f051edd3aa5,2022-04-01,2022Q2,DAO Wallet,ENS Labs,ENS Labs,1281407.0,USDC,1281407.0
0xc6fc145016ca50d3c7fbded8037d3ecd16620a56183a15a51a775f051edd3aa5,2022-04-01,2022Q2,DAO Wallet,Ecosystem,Ecosystem,250000.0,USDC,250000.0
0x10692664f8ac9c3635c98c0feae38162bf40e2b54f485e3bc44b30b2b5cf284e,2022-04-03,2022Q2,DAO Wallet,Airdrop,Airdrop,185.45089271301967,ENS,3887.11
0xcf06abf3e73665fe3139913053f0fb282fc55bfe6b4d46d128e77e10573fb070,2022-04-04,2022Q2,DAO Wallet,Airdrop,Airdrop,279.89174739774955,ENS,5558.55
0x24fa2bc4f40ff6c0b7e93af1109f2746175ff6306e25e9e734a57e217ebe92d6,2022-04-05,2022Q2,DAO Wallet,Airdrop,Airdrop,208.80486488300872,ENS,3931.76
0x12b1feecd91cd190fea18faaeb4ca604b87052b3e9cfea7fd02874130292027e,2022-04-09,2022Q2,DAO Wallet,Airdrop,Airdrop,163.02417290653028,ENS,2544.03
0xbd51fc1026c03031862b63657e5491a7886234ce4579b19ef0e991572a5b2ae5,2022-04-09,2022Q2,DAO Wallet,Airdrop,Airdrop,67.2984570360507,ENS,1050.21
0x96cb458258a8e277551319951a73432779835458942c16e0caf632ef7926565c,2022-04-10,2022Q2,DAO Wallet,Airdrop,Airdrop,75.81668783098219,ENS,1155.34
0x6a329e5e04ad492308e636f18152bbe8e3c572dfc6acd75b9565955c60c0bff1,2022-04-10,2022Q2,DAO Wallet,Airdrop,Airdrop,70.15935657477692,ENS,1069.13
0xfe7246c3b582a37d74dd280cc211b7ea4843b560ae94e33933bed3783df528a6,2022-04-11,2022Q2,DAO Wallet,Airdrop,Airdrop,102.56641996204992,ENS,1411.49
0xc8d6e6441952bd6414c3cecddfe82aea2ee490dae2c3a5f61124590a83e09d05,2022-04-12,2022Q2,DAO Wallet,Airdrop,Airdrop,166.8324023527727,ENS,2393.0
0x4d504009e349c14527c7222aefaa691ed337a93ef072ff118c4c0043585e9bb7,2022-04-12,2022Q2,DAO Wallet,Airdrop,Airdrop,155.50682391490085,ENS,2230.55
0xebf93e9688a6338f4aa89bff0325dda404c0ff6afde995324a13eef0c8b1b3b2,2022-04-13,2022Q2,DAO Wallet,Airdrop,Airdrop,132.56553215463737,ENS,1934.49
0x93ea4562ba09d792dda1dfbaaa161d16a40e66e08d16c42dfd37f4fdc8853aaa,2022-04-16,2022Q2,DAO Wallet,Airdrop,Airdrop,181.9862840417244,ENS,2610.5
0xd9be7a1c8ffdf361cf9f2884baacf55d3ca29da8b341b8a33a732a7e0d164c45,2022-04-16,2022Q2,DAO Wallet,Airdrop,Airdrop,121.3807478350217,ENS,1741.15
0x9c70650206fb9134e4cc307f557e796d44e6dca656c36579cb0107e7fafeea16,2022-04-17,2022Q2,DAO Wallet,Airdrop,Airdrop,39.35848648585197,ENS,540.44
0x066498adaf53e8383667b9e63297eefe98a1451f0aecdff569759b9585e89386,2022-04-17,2022Q2,DAO Wallet,Airdrop,Airdrop,33.03046704767897,ENS,453.55
0xe6761ddfe4caa0b7b001ce04816d2695c8b519f263ee8573c72922f131bce48d,2022-04-17,2022Q2,Community WG,daylon.eth,Communications,1350.0,USDC,1350.0
0xe6761ddfe4caa0b7b001ce04816d2695c8b519f263ee8573c72922f131bce48d,2022-04-17,2022Q2,Community WG,daylon.eth,Communications,6.0,ENS,82.39
0x30f15fbdd9eaa2989625790b4349a786582125001d48d7ccf183678ff8ba6abd,2022-04-18,2022Q2,Ecosystem,hodl.esf.eth,Bug Bounty,45000.0,USDC,45000.0
0x6d1caf323763f34d243662e3e4db84cac4ce767c0e172aa6c8b2e3916b7fcb53,2022-04-19,2022Q2,DAO Wallet,Airdrop,Airdrop,190.63317549393904,ENS,2837.92
0x9c9b9103bfb826faed23c6b9be20dafc480f641f773faba9eef9e9b12c8cf8a8,2022-04-19,2022Q2,DAO Wallet,Airdrop,Airdrop,183.10266941739397,ENS,2725.82
0x1b20a619e771a6bebd5e49d730d5cd312de8325dec2ca0f42ac0eea145a7ba75,2022-04-19,2022Q2,DAO Wallet,Airdrop,Airdrop,157.7000576779467,ENS,2347.65
0xa456aa6dd63f4101af2519e05611ae4989374f7cac539d93680af74ae0f6b01f,2022-04-19,2022Q2,DAO Wallet,Airdrop,Airdrop,32.612877179588665,ENS,485.5
0x731fab22ba0d524e211fe10ea859bd9fc9317f15c24d1294d406119a1f4e0b7e,2022-04-20,2022Q2,DAO Wallet,Airdrop,Airdrop,112.99593108229377,ENS,1654.97
0xc10ea3c1f75f80675f5b6f7ffe82091c503957759a56d6b258d053802482e734,2022-04-20,2022Q2,DAO Wallet,Airdrop,Airdrop,8.771874312335756,ENS,128.48
0xe267cb053d3199ef9cc6c9d3b9191d625ab32be919294f8168d5852d0d44d5fd,2022-04-20,2022Q2,Community WG,spencecoin.eth,Salaries,2500.0,USDC,2500.0
0x1f18192e52681fb3327aa20df7f3f296a06038fa5066897cbd296708d645f39d,2022-04-20,2022Q2,Community WG,limes.eth,Salaries,2500.0,USDC,2500.0
