proposal_id,proposal_title,voter_address,voter_name,voter_ens,vote_type,weight,weight_human,reason,block_number,block_time
2790714538897442592,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,0x2F2F665974261C4129b1DC6c359BD259CD66f78A,0htjit.eth,0htjit.eth,for,1196983482310475142,1.1970,,24487141,2026-02-18T23:54:47Z
2790714538897442592,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,0x310CA05F59b55D50a39A3E3b39a3Fe0caFB256B6,,,for,2663655213296772030464,2663.6552,,24486089,2026-02-18T20:23:35Z
2790714538897442592,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,0x4C932D6C37a970C1eB88cC411b808285bcd92C69,,,for,2469635520949757272064,2469.6355,,24486089,2026-02-18T20:23:35Z
2790714538897442592,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,0x6ee0Fc50dd452d6101BAF0e9E3871d4Ed9e91745,openpool.eth,openpool.eth,for,0,0.0000,,24485652,2026-02-18T18:55:47Z
2790714538897442592,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,0xe11Da9560b51f8918295edC5ab9c0a90E9ADa20B,jalil.eth,jalil.eth,for,3317074500209802855406,3317.0745,,24485313,2026-02-18T17:47:59Z
2790714538897442592,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,0x72b4B2553b2a6C17B558E628FF5B6B7141a68658,Tanzina Akter,,for,2074972461191515,0.0021,,24484635,2026-02-18T15:31:59Z
2790714538897442592,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,0x54BeCc7560a7Be76d72ED76a1f5fee6C5a2A7Ab6,simona pop 🔥,simona.eth,for,58364399216252485136598,58364.3992,,24484484,2026-02-18T15:01:47Z
2790714538897442592,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,0x13e0f5bEff1AB88Be9A8735e75a46DAB85D5C17A,,,for,13766651067166673,0.0138,,24484129,2026-02-18T13:50:11Z
2790714538897442592,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,0xab1e9dd49f6359542826A1413380174a9Ad716f5,,,for,10665659960236795,0.0107,,24483976,2026-02-18T13:19:35Z
2790714538897442592,[EP 6.34] Register on.eth to the ENS DAO wallet and set the resolver,0x15018C5af40a7B287B98Cde895B0B1c89371bb6B,,,for,13106419115864336,0.0131,,24483954,2026-02-18T13:15:11Z
