Rank,Delegate,Voting Power,30 Day Change,Delegations,On-chain Votes
1,0x5BFCB4BE4d7B43437d5A0c57E908c048a4418390,262486,-4927,239,49
2,0x89EdE5cBE53473A64d6C8DF14176a0d658dAAeDC,176309,0,3,17
3,0xb8c2C29ee19D8307cb7255e1Cd9CbDE883A267d5,150915,2884,416,55
4,0x81b287c0992B110ADEB5903Bf7E2d9350C80581a,147788,-997,624,6
5,0x809FA673fe2ab515FaA168259cB14E2BeDeBF68e,132193,-719,413,51
6,0x4e88F436422075C1417357bF957764c127B2CC93,121283,0,227,1
7,0x1D5460F896521aD685Ea4c3F2c679Ec0b6806359,112456,12137,6,60
8,0x534631Bcf33BDb069fB20A93d2fdb9e4D4dD42CF,108494,-4,28,62
9,0x048AA782fB1eBc07b410AAb4AF1456BE23220493,98000,0,2,2
10,0x983110309620D911731Ac0932219af06091b6744,97661,-977,636,60
11,0xd5D171a9AA125AF13216C3213B5A9Fc793FcCF2c,90544,0,26,57
12,0xA7860E99e3ce0752D1ac53b974E309fFf80277C6,85573,0,11,50
13,0x2B888954421b424C5D3D9Ce9bB67c9bD47537d12,80208,-724,379,50
14,0x399e0Ae23663F27181Ebb4e66Ec504b3AAB25541,65756,-542,316,24
15,0x866B3c4994e1416B7C738B9818b31dC246b95eEE,65619,-649,3,10
16,0xB352bB4E2A4f27683435f153A259f1B207218b1b,60000,0,2,22
17,0x54BeCc7560a7Be76d72ED76a1f5fee6C5a2A7Ab6,58296,-84,365,43
18,0x7a3d05c70581bD345fe117c06e45f9669205384f,57508,182,458,12
19,0xB94B57A92aB7c6406519A48C0dd1e26FD6D45D88,56573,0,2,0
20,0x839395e20bbB182fa440d08F850E6c7A8f6F0780,53346,-296,300,52
21,0x13BF6057bd5d5C37095372FCaCff7b93B5B75F0D,50347,0,1,0
22,0x8787FC2De4De95c53e5E3a4e5459247D9773ea52,50299,-10000,2,24
23,0x6e3c9DFE5413A98720E29f8245c63064f8687492,50098,0,2,3
24,0xc02771315d0958F23a64140160E78ECB9bB8614e,50000,-1287,1,19
25,0x1eeA6382f133c6Fc4d40C28d19F4B628e918a0D2,46587,0,1,0
26,0x2CB86D919332D0369C66A2d5982419266F5e490f,46371,0,2,0
27,0x2D7d6Ec6198ADFD5850D00BD601958F6E316b05E,46351,0,1,34
28,0xE5501BC2B0Df6D0D7daAFC18D2ef127D9e612963,45316,-143,359,3
29,0xc95C558dAA63b1A79331B2AB4a2a7af375384d3B,41000,0,1,0
30,0x48dbB9B7B562ACf3c38E53deAfF4686e24c3D85D,40879,368,59,14
31,0xA8B4756959E1192042fC2a8A103Dfe2BdDF128E8,40505,0,1,12
32,0x190473B3071946df65306989972706A4c006A561,35476,-92,287,3
33,0xBcE35d5A3e89995730B3C979a01319D06E41776f,34326,0,2,26
34,0xAC50cE326de14dDF9b7e9611Cd2F33a1Af8aC039,34000,0,2,35
35,0xBdB41BfF7E828E2DC2d15EB67257455db818F1DC,33230,-648,257,18
36,0x7F7720BDb2CB5C13dd30a0C8aB8D0dD553b31caA,33210,0,4,16
37,0x8b1f85a93Ac6E4F62695Ea8EF2410d248605FEff,32398,0,4,16
38,0xed11e5eA95a5A3440fbAadc4CC404C56D0a5bb04,31389,-262,182,34
39,0xb7847E247871f468F221E2113640A5B9e98e19f2,28670,-83,209,0
40,0xd1324aDA7e026211D0CacD90CAe5777E340dE948,26937,0,8,10
41,0xdd00Cc906B93419814443Bb913949d503B3DF3c4,22056,-414,172,4
42,0x8b3347FD0B8C3a619d1f1FDc90CAF4F335c03742,20340,-500,146,20
43,0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,18438,0,2,48
44,0x225f137127d9067788314bc7fcc1f36746a3c3B5,17500,0,1,2
45,0x815FD2bA302De5FA849469b1511e34E9D8fbB51D,17266,0,82,1
46,0x0c2eC205cF0F50995dd84F0655b54848844Bda74,15588,-373,118,0
47,0xB0CA2E19356F763721110b2E0B318883DF844cBC,13361,188,109,0
48,0x000000DCF1190aF44f7149B85299F18Ce7221024,12627,0,1,3
49,0x6e0d9c6dd8a08509bB625CAa35dc61a991406F62,12410,-40,83,9
50,0x71C7656EC7ab88b098defB751B7401B5f6d8976F,11043,0,1,0
51,0xf07A2439296e07Bc4320AF924E655a01fb69D89C,10625,-25,70,1
52,0x7Ae94d7712b7EDB9BB2C0Ee6D71081a6D8710c0b,10373,-328,71,38
53,0x1F3D3A7A9c548bE39539b39D7400302753E20591,10152,2762,4,33
54,0x1d921dff757610FbDB0073479e12c0a07d382677,10000,0,1,8
55,0x8F73bE66CA8c79382f72139be03746343Bf5Faa0,9925,-91,50,7
56,0x76A6D08b82034b397E7e09dAe4377C18F132BbB8,9871,-2137,4,46
57,0x48A63097E1Ac123b1f5A8bbfFafA4afa8192FaB0,9500,-400,15,11
58,0x4AA5D5059aEB7d2796Ae887081917160c0Cadf66,9303,0,3,27
59,0x035eBd096AFa6b98372494C7f08f3402324117D3,9157,2742,4,49
60,0xE7e84204B7e180454e5C40d0e04D346214a83f85,8925,0,60,0
61,0x480B1A06cB348c1dc673BbfDD74ef19fA1A79A30,8750,8750,1,1
62,0xFC63B3aCd10456b6356E7524860d0b07AcF71fD8,8236,0,72,1
63,0x4dC96AAd2Daa3f84066F3A00EC41Fd1e88c8865A,7053,0,3,32
64,0x3bDcd88A9639F85818Ed5A35E2ABf6292D9b0377,6996,-68,26,0
65,0x7265a60acAeaf3A5E18E10BC1128e72F27B2e176,6573,-170,61,8
66,0x8d07D225a769b7Af3A923481E1FdF49180e6A265,6485,0,41,20
67,0x29a82E07B96c405aC99a8023F767D2971546DE70,6035,0,9,46
68,0xf3427890604BC8BE673517B9Dde1bab548aE3329,5965,0,6,47
69,0x0457d3ef89435F23d781F97495D1E3e6C93813Db,5530,0,42,4
70,0x5D509F653d7e4914AF9da434bF25c53Cd122763D,5513,-105,43,0
71,0x1F9CCb3029D369764D9984B734E27dE25d3e270E,5386,5362,3,7
72,0x8C28Cf33d9Fd3D0293f963b1cd27e3FF422B425c,5000,-7500,1,2
73,0x029183bd9A47CDD7f5df8Fb64382022C4b681b63,4727,0,9,29
74,0x3B3525F60eeea4a1eF554df5425912c2a532875D,4686,0,40,12
75,0xb7f4E738bb0B85aD1ECef26a2A733dc899dA500E,4668,-186,26,2
76,0x8ab1760889F26cBbf33A75FD2cF1696BFccDc9e6,4614,0,22,4
77,0x3335cc8BDa40fB5a5F8Db1D0011dEc98728d81E1,4550,-10,47,53
78,0x6C7A16A3582e8c8d974D9Eb29B84ce18Ed005cb3,4463,-68,60,0
79,0x2e11E3b40Ca0C4aba93a2Cd7C9046394b8dd7501,4400,0,2,12
80,0x866F5DA24591B2401F04C1F3Dd0cBc799Bb52fdf,4017,0,8,5
81,0x36F793859B34DaB7D8FCE45142cf731d0aB8A589,3927,0,1,5
82,0x6405A46E53680Eae9cC68228ec3a459c3CEDD972,3840,0,28,0
83,0x7B3431DB5a984C7a7a710175F6119a385070E9ec,3825,0,27,1
84,0x711c7FEF3256fD7950BDe636e8762C2B96f8d0a1,3793,3781,3,7
85,0x4628D77ba8fCc7a7F2B6bd4A0363061a06E7a20F,3758,0,27,0
86,0x6140F00e4Ff3936702E68744f2b5978885464cbB,3757,-214,21,0
87,0x68ade9fA92C5AC2E798556377e11bd9829bE4553,3736,0,23,0
88,0x2486d6eA7dDBdb872DfE2383ac16Cfb73DB28733,3431,-52,27,1
89,0xe11Da9560b51f8918295edC5ab9c0a90E9ADa20B,3317,0,24,12
90,0xB2Ebc9b3a788aFB1E942eD65B59E9E49A1eE500D,3308,-119,24,0
